Feature,RF_Importance
feature_0,0.0035125869413695126
feature_1,0.0025276887593245153
feature_2,0.002938628685032001
feature_3,0.0025489541087845794
feature_4,0.037337754605101706
feature_5,0.003251639687884175
feature_6,0.003321477912090059
feature_7,0.002330759866853784
feature_8,0.003115800640935542
feature_9,0.0026806233547948914
feature_10,0.0020021502389133104
feature_11,0.0027787943257357116
feature_12,0.002178908391236926
feature_13,0.0024315395154744213
feature_14,0.002036724691492415
feature_15,0.0024352578041418734
feature_16,0.1823997470244561
feature_17,0.7401709634463784
